Genus,Species,q,r,Vr,CVN,MA_Yr,RW-Yr,EX_Yr,RL_Yr,GL_Yr,TL_Yr,MA_G,RW_G,EX_G,RL_G,GL_G,TL_G,TI,BS,RA,HI,EF,DE,Mass,Len,Wing,RepT,MinAge,Lifesp,GenF,Gen,RepG,DispA,DirL,IndL,Sev,RanD,N,Dist,Den,Fert,NTr,TrL,Spec,Hum,Status,LegProt
Aix,sponsa,13,-0.022098165,0.022283533,0.109414479,4.397527948,6.53676771,8.359263899,4.258545824,4.247268732,4.2592402,4.390126399,6.222423228,6.827286399,4.287391146,4.268514255,4.287802473,0,6.152732695,0.25,0.4,0.238095238,0.666666667,660,470,,2,10,180,,,3,3,1,1,2,1,1,2,,12,2,3,1,1,LC,1
Anas,acuta,47,-0.036123198,0.055905148,0.448370193,6.188857109,7.812380898,10.99156228,5.556700111,4.947399985,5.268319219,5.845181528,7.032536857,7.751691873,5.681120271,5.020108943,5.416641534,0,6.371611847,0,0.4,0.261904762,0.666666667,1010,585,,2,8,240,,,4,2,1,1,2,1,1,1,,8,1,4,1,1,LC,1
Anas,americana,47,-0.006821961,0.028415688,0.187229172,4.54347115,6.78470617,7.331045327,4.534516189,4.421669418,4.561156859,4.62048658,6.250259629,6.526507545,4.657922839,4.469114372,4.677653698,0,6.173786104,0,0.4,0.119047619,0.666666667,755,480,,2,9,240,,,4,2,1,1,2,1,1,1,,8,2,3,1,2,LC,1
Anas,clypeata,47,0.005607707,0.039698945,0.325492126,5.32943083,7.250185367,6.776129763,5.036692147,4.657679964,4.839700175,5.272030932,6.632338032,6.397535051,5.067238791,4.772839348,4.952457747,0,6.684611728,0,0.4,0.261904762,0.666666667,610,480,800,2,8,180,,,4,2,1,1,2,1,1,1,,10,2,4,1,2,LC,1
Anas,crecca,47,0.005438098,0.071603332,0.251399427,4.789562267,8.313148593,7.840030038,4.894251436,4.712204459,4.790737248,4.857729307,7.434127619,7.27000217,4.962939913,4.787946428,4.874771912,0,5.913503006,0,0.4,0.119047619,0.666666667,340,370,,2,8,180,,,3,2,1,1,2,1,1,1,,10,2,3,1,2,LC,1
Anas,discors,47,-0.004937373,0.03566166,0.237502429,4.766510723,7.12687979,7.498559957,4.790760649,4.496188606,4.652047797,4.765261717,6.427326538,6.53897386,4.889659197,4.533228894,4.702264201,0,5.966146739,0,0.4,0.119047619,0.666666667,385,390,,2,8,180,,,4,2,1,1,2,1,1,1,,10,2,3,1,2,LC,1
Anas,penelope,13,-0.070423547,0.636595839,0.506595452,14.66862701,16.68974357,20.72326584,7.706561435,7.229470601,13.75804084,13.35186754,14.17377968,16.11227643,8.14166813,7.553370246,20.84250717,0,6.234410726,0,0.4,0.119047619,0.666666667,772,510,,2,8,280,,,4,2,1,1,2,1,1,1,,9,2,3,1,2,LC,1
Anas,platyrhynchos,47,-0.003335587,0.019851966,0.216331868,4.999292119,6.394533273,6.679221568,4.675685889,4.431000875,4.559545041,4.966451051,6.076914623,6.185485918,4.756256208,4.472417583,4.678073626,0,6.779921907,0,0.4,0.380952381,0.666666667,1082,580,880,2,10,180,,,3,3,1,1,2,1,1,1,,11,1,4,1,1,LC,1
Anas,querquedula,12,-0.100331067,0.769039964,0.447903208,13.37520642,17.78027032,20.72326584,7.829259356,6.88129059,6.37032313,13.20173849,15.75800677,18.58688481,8.627660204,7.238595895,6.627126004,0,6.461468176,0,0.4,0.261904762,0.666666667,326,390,640,2,9,180,,,4,2,1,1,2,1,1,1,,9,1,4,1,1,LC,1
Anas,strepera,47,0.026231874,0.035596255,0.484889831,5.739073335,7.125260802,5.384688487,5.249222811,4.952272277,5.109851564,5.771851079,6.724140107,5.954694122,5.375957595,5.033798066,5.297522156,0,6.234410726,0,0.4,0.238095238,0.666666667,920,510,,2,10,180,,,4,3,1,1,2,1,1,1,,10,2,3,1,2,LC,1
