AVAILABILITY,DATASOURCEID,MainID
"Restricted",49,1464
"Restricted",49,1465
"Restricted",49,1466
"Restricted",49,1467
"Restricted",49,1468
"Restricted",49,1469
"Restricted",49,1470
"Restricted",49,1471
"Restricted",49,1472
"Restricted",49,1473
"Restricted",49,1474
"Restricted",49,1475
"Restricted",49,1476
"Restricted",49,1477
"Restricted",49,1478
"Restricted",49,1479
"Restricted",49,1480
"Restricted",49,1481
"Restricted",49,1482
"Restricted",49,1483
"Restricted",49,1484
"Restricted",49,1485
"Restricted",49,1486
"Restricted",49,1487
"Restricted",49,1488
"Restricted",49,1489
"Restricted",49,1490
"Restricted",49,1491
"Restricted",49,1492
"Restricted",49,1493
"Restricted",49,1494
"Restricted",49,1495
"Restricted",49,1496
"Restricted",49,1497
"Restricted",49,1498
"Restricted",49,1499
"Restricted",49,1500
"Restricted",49,1501
"Restricted",49,1502
"Restricted",49,1503
"Restricted",512,8656
"Restricted",512,8657
"Restricted",512,8658
"Restricted",512,8659
"Restricted",512,8660
"Restricted",512,8661
"Restricted",512,8662
"Restricted",512,8663
"Restricted",512,8664
"Restricted",512,8666
"Restricted",512,8667
"Restricted",512,8668
"Restricted",512,8670
"Restricted",512,8671
"Restricted",512,8672
"Restricted",512,8673
"Restricted",512,8674
"Restricted",512,8675
"Restricted",512,8676
"Restricted",512,8677
"Restricted",512,8678
"Restricted",512,8679
"Restricted",512,8681
"Restricted",512,8682
"Restricted",512,8683
"Restricted",512,8684
"Restricted",512,8685
"Restricted",512,8686
"Restricted",512,8687
"Restricted",512,8688
"Restricted",512,8689
"Restricted",512,8690
"Restricted",512,8691
"Restricted",512,8692
"Restricted",512,8693
"Restricted",512,8694
"Restricted",512,8695
"Restricted",512,8696
"Restricted",512,8697
"Restricted",512,8698
"Restricted",512,8699
"Restricted",512,8700
"Restricted",512,8701
"Restricted",512,8702
"Restricted",512,8703
"Restricted",512,8704
"Restricted",512,8705
"Restricted",512,8706
"Restricted",512,8707
"Restricted",512,8708
"Restricted",512,8709
"Restricted",512,8710
"Restricted",512,8711
"Restricted",512,8712
"Restricted",512,8713
"Restricted",512,8714
"Restricted",512,8715
"Restricted",512,8716
"Restricted",512,8717
"Restricted",512,8718
"Restricted",512,8719
"Restricted",512,8720
"Restricted",512,8721
"Restricted",512,8722
"Restricted",512,8723
"Restricted",512,8724
"Restricted",512,8725
"Restricted",512,8726
"Restricted",512,8727
"Restricted",512,8728
"Restricted",512,8729
"Restricted",512,8730
"Restricted",512,8731
"Restricted",512,8732
"Restricted",512,8733
"Restricted",512,8734
"Restricted",512,8735
"Restricted",512,8736
"Restricted",512,8737
"Restricted",512,8738
"Restricted",512,8739
"Restricted",512,8740
"Restricted",512,8741
"Restricted",512,8742
"Restricted",512,8743
"Restricted",512,8744
"Restricted",512,8745
"Restricted",512,8746
"Restricted",512,8747
"Restricted",512,8748
"Restricted",512,8749
"Restricted",512,8750
"Restricted",512,8754
"Restricted",512,8755
"Restricted",512,8756
"Restricted",512,8757
"Restricted",512,8758
"Restricted",512,8759
"Restricted",512,8760
"Restricted",512,8761
"Restricted",512,8762
"Restricted",512,8763
"Restricted",512,8768
"Restricted",512,8769
"Restricted",512,8770
"Restricted",512,8772
"Restricted",512,8773
"Restricted",512,8777
"Restricted",512,8778
"Restricted",512,8779
"Restricted",512,8780
"Restricted",512,8781
"Restricted",512,8782
"Restricted",512,8783
"Restricted",512,8784
"Restricted",512,8785
"Restricted",512,8786
"Restricted",512,8787
"Restricted",512,8788
"Restricted",512,8792
"Restricted",512,8793
"Restricted",512,8794
"Restricted",512,8795
"Restricted",512,8796
"Restricted",512,8797
"Restricted",512,8799
"Restricted",512,8800
"Restricted",512,8801
"Restricted",512,8802
"Restricted",512,8803
"Restricted",512,8804
"Restricted",512,8807
"Restricted",512,8808
"Restricted",512,8810
"Restricted",512,8811
"Restricted",512,8814
"Restricted",512,8815
"Restricted",512,8816
"Restricted",512,8817
"Restricted",512,8820
"Restricted",512,8821
"Restricted",512,8822
"Restricted",512,8823
"Restricted",512,8824
"Restricted",512,8825
"Restricted",512,8826
"Restricted",512,8827
"Restricted",512,8828
"Restricted",512,8829
"Restricted",512,8830
"Restricted",512,8831
"Restricted",512,8832
"Restricted",512,8833
"Restricted",512,8834
"Restricted",512,8835
"Restricted",512,8836
"Restricted",512,8837
"Restricted",512,8838
"Restricted",512,8839
"Restricted",512,8840
"Restricted",512,8841
"Restricted",512,8842
"Restricted",512,8843
"Restricted",512,8844
"Restricted",512,8845
"Restricted",512,8846
"Restricted",512,8847
"Restricted",512,8848
"Restricted",512,8849
"Restricted",512,8850
"Restricted",512,8851
"Restricted",512,8852
"Restricted",512,8853
"Restricted",512,8854
"Restricted",512,8855
"Restricted",512,8856
"Restricted",512,8857
"Restricted",512,8858
"Restricted",512,8859
"Restricted",512,8860
"Restricted",512,8861
"Restricted",512,8862
"Restricted",512,8864
"Restricted",512,8865
"Restricted",512,8866
"Restricted",512,8867
"Restricted",512,8868
"Restricted",512,8869
"Restricted",512,8870
"Restricted",512,8871
"Restricted",512,8872
"Restricted",512,8873
"Restricted",512,8874
"Restricted",512,8875
"Restricted",512,8876
"Restricted",512,8877
"Restricted",512,8878
"Restricted",512,8879
"Restricted",512,8880
"Restricted",512,8881
"Restricted",512,8882
"Restricted",512,8883
"Restricted",512,8884
"Restricted",512,8885
"Restricted",512,8886
"Restricted",512,8887
"Restricted",512,8888
"Restricted",512,8889
"Restricted",512,8890
"Restricted",512,8891
"Restricted",512,8892
"Restricted",512,8893
"Restricted",512,8894
"Restricted",512,8895
"Restricted",512,8896
"Restricted",512,8897
"Restricted",512,8898
"Restricted",512,8899
"Restricted",512,8900
"Restricted",512,8901
"Restricted",512,8902
"Restricted",512,8903
"Restricted",512,8904
"Restricted",512,8905
"Restricted",512,8906
"Restricted",512,8907
"Restricted",512,8908
"Restricted",512,8909
